PeakID (cmd=annotatePeaks.pl peakcalling/LARP4_consensus_peaks2.bed hg38 -annStats annotation_stats.txt),Chr,Start,End,Strand,Gene Name
LARP4_rep1_peak_11702,chrX,154442577,154443294,+,FAM50A
LARP4_rep1_peak_8327,chr3,69104448,69104866,+,LMOD3
LARP4_rep1_peak_230,chr1,16006156,16006605,+,SRARP
LARP4_rep1_peak_11022,chr9,113597085,113597475,+,RGS3
LARP4_rep1_peak_4712,chr17,47682312,47682889,+,TBKBP1
LARP4_rep1_peak_5552,chr19,11131179,11131736,+,MIR6886
LARP4_rep1_peak_851,chr1,167787784,167788142,+,MPZL1
LARP4_rep1_peak_8764,chr4,87336891,87337385,+,HSD17B13
LARP4_rep1_peak_5149,chr18,49783549,49784016,+,ACAA2
LARP4_rep1_peak_8168,chr3,41239902,41240123,+,CTNNB1
LARP4_rep1_peak_9535-2,chr6,33771950,33772771,+,LEMD2
LARP4_rep1_peak_4270,chr17,1738176,1738440,+,SERPINF2
LARP4_rep1_peak_9336,chr6,10983568,10983821,+,LOC101928191
LARP4_rep1_peak_2115,chr12,6237654,6238128,+,CD9
LARP4_rep1_peak_9535,chr6,33771431,33771687,+,LEMD2
LARP4_rep1_peak_2332,chr12,56102892,56103333,+,PA2G4
LARP4_rep1_peak_5259,chr19,974769,975598,+,WDR18
LARP4_rep1_peak_6310,chr2,36548641,36549138,+,FEZ2
LARP4_rep1_peak_7074,chr20,10639291,10639507,+,MIR6870
LARP4_rep1_peak_6892,chr2,233207521,233207874,+,ATG16L1
LARP4_rep1_peak_8119,chr3,16260596,16260931,+,DPH3
LARP4_rep1_peak_8242,chr3,50187961,50188924,+,GNAT1
LARP4_rep1_peak_6714,chr2,174348344,174348582,+,SP9
LARP4_rep1_peak_10859,chr9,33917457,33917821,+,UBAP2
LARP4_rep1_peak_8169,chr3,42594547,42594782,+,SS18L2
LARP4_rep1_peak_8933,chr5,32125460,32125686,+,GOLPH3
LARP4_rep1_peak_493,chr1,48248291,48248504,+,SLC5A9
LARP4_rep1_peak_1982,chr11,77616299,77616720,+,CLNS1A
LARP4_rep1_peak_7502,chr21,31671264,31671501,+,SOD1
LARP4_rep1_peak_1335,chr10,123165063,123165276,+,BUB3
LARP4_rep1_peak_602,chr1,109693326,109693643,+,GSTM1
LARP4_rep1_peak_8491,chr3,168008792,168009063,+,GOLIM4
LARP4_rep1_peak_5614,chr19,14091793,14092315,+,SAMD1
LARP4_rep1_peak_3340,chr15,76949059,76949706,+,RCN2
LARP4_rep1_peak_4010,chr16,70571720,70572264,+,IL34
LARP4_rep1_peak_5331,chr19,1985501,1985902,+,BTBD2
LARP4_rep1_peak_4773,chr17,57006051,57006524,+,SCPEP1
LARP4_rep1_peak_319,chr1,25862037,25862850,+,AUNIP
LARP4_rep1_peak_8194,chr3,47851641,47853137,+,MIR1226
LARP4_rep1_peak_7247,chr20,37517627,37518225,+,BLCAP
LARP4_rep1_peak_7968,chr22,45843656,45843865,+,MIR4762
LARP4_rep1_peak_8916,chr5,10679296,10679689,+,DAP
LARP4_rep1_peak_2675,chr13,23675594,23675962,+,TNFRSF19
LARP4_rep1_peak_1655,chr11,60921864,60923170,+,TMEM132A
LARP4_rep1_peak_8429,chr3,129555400,129556288,+,H1FOO
LARP4_rep1_peak_6621,chr2,119681800,119682080,+,TMEM177
LARP4_rep1_peak_6738,chr2,187464389,187464718,+,CALCRL
LARP4_rep1_peak_5960,chr19,46719540,46720331,+,PRKD2
LARP4_rep1_peak_7798,chr22,31433851,31434119,+,DRG1
LARP4_rep1_peak_10761,chr8,143915290,143916242,+,PLEC
LARP4_rep1_peak_8759,chr4,82818760,82819319,+,SCD5
LARP4_rep1_peak_11006,chr9,101562528,101562763,+,RNF20
LARP4_rep1_peak_8136,chr3,33142861,33143087,+,CRTAP
LARP4_rep1_peak_8875,chr4,186587979,186588214,+,MTNR1A
LARP4_rep1_peak_1550,chr11,14505002,14505326,+,COPB1
LARP4_rep1_peak_9796,chr6,157673608,157673823,+,MIR3692
LARP4_rep1_peak_4625,chr17,42522056,42522460,+,MIR5010
LARP4_rep1_peak_9713,chr6,108211711,108212402,+,NR2E1
LARP4_rep1_peak_4443,chr17,19577869,19578068,+,SNORA59A
LARP4_rep1_peak_5736,chr19,33300084,33301447,+,CEBPA
LARP4_rep1_peak_8709,chr4,39448575,39448861,+,RPL9
LARP4_rep1_peak_747,chr1,154957138,154957361,+,PBXIP1
LARP4_rep1_peak_11449,chrX,38805457,38805697,+,MID1IP1-AS1
LARP4_rep1_peak_6576,chr2,101276658,101277299,+,SNORD89
LARP4_rep1_peak_5789,chr19,35995934,35996146,+,SDHAF1
LARP4_rep1_peak_11652,chrX,150988164,150988454,+,HMGB3
LARP4_rep1_peak_2762,chr13,112882322,112883306,+,MCF2L-AS1
LARP4_rep1_peak_1585,chr11,43855255,43855463,+,ALKBH3
LARP4_rep1_peak_54,chr1,1352747,1353762,+,DVL1
LARP4_rep1_peak_7090,chr20,18560538,18561046,+,SMIM26
LARP4_rep1_peak_6086,chr19,54131376,54131610,+,CNOT3
LARP4_rep1_peak_5053,chr17,82078496,82079304,+,SNORD134
LARP4_rep1_peak_7058,chr20,4852471,4852881,+,RASSF2
LARP4_rep1_peak_258,chr1,19218211,19218445,+,EMC1-AS1
LARP4_rep1_peak_11420,chrX,12976798,12977096,+,TMSB4X
LARP4_rep1_peak_6119,chr19,55645281,55645520,+,ZNF581
LARP4_rep1_peak_1867,chr11,66539376,66539639,+,ZDHHC24
LARP4_rep1_peak_11298,chr9,137191691,137192217,+,SSNA1
LARP4_rep1_peak_1516,chr11,2944949,2945766,+,PHLDA2
LARP4_rep1_peak_10570,chr8,38412854,38413849,+,LETM2
LARP4_rep1_peak_8381,chr3,124763063,124763853,+,MIR544B
LARP4_rep1_peak_10826,chr9,5786040,5786260,+,ERMP1
LARP4_rep1_peak_10646,chr8,96610307,96610512,+,CPQ
LARP4_rep1_peak_4067,chr16,81710470,81711709,+,LOC100129617
LARP4_rep1_peak_1716,chr11,62593360,62594048,+,TUT1
LARP4_rep1_peak_10826-2,chr9,5786931,5787168,+,ERMP1
LARP4_rep1_peak_5286,chr19,1300190,1301378,+,EFNA2
LARP4_rep1_peak_11654,chrX,152827490,152828058,+,CETN2
LARP4_rep1_peak_1317,chr10,103601537,103601758,+,SH3PXD2A
LARP4_rep1_peak_2004,chr11,102378258,102378469,+,BIRC2
LARP4_rep1_peak_6958,chr2,241573440,241574023,+,BOK-AS1
LARP4_rep1_peak_4990,chr17,81464224,81464451,+,MIR3186
LARP4_rep1_peak_10576,chr8,38990988,38991538,+,TM2D2
LARP4_rep1_peak_9109,chr5,138934232,138934469,+,CTNNA1
LARP4_rep1_peak_7012,chr20,1937598,1937814,+,PDYN-AS1
LARP4_rep1_peak_4874,chr17,75874280,75874507,+,TRIM47
LARP4_rep1_peak_11105,chr9,128120837,128121426,+,SLC25A25-AS1
LARP4_rep1_peak_3622,chr16,11872768,11873265,+,RSL1D1
LARP4_rep1_peak_8902,chr5,1461537,1461814,+,SLC6A3
LARP4_rep1_peak_4619,chr17,42313507,42313884,+,STAT5A
LARP4_rep1_peak_5413,chr19,4361294,4361532,+,MPND
LARP4_rep1_peak_9161,chr5,151267348,151267587,+,GM2A
LARP4_rep1_peak_2520,chr12,120127429,120128079,+,RAB35
LARP4_rep1_peak_9134,chr5,142151807,142152070,+,NDFIP1
LARP4_rep1_peak_333,chr1,26854738,26854941,+,SFN
LARP4_rep1_peak_8821,chr4,128270229,128270431,+,PGRMC2
LARP4_rep1_peak_7263,chr20,44499546,44500499,+,SERINC3
LARP4_rep1_peak_8284,chr3,52451163,52451364,+,TNNC1
LARP4_rep1_peak_1958,chr11,74976815,74977494,+,NEU3
LARP4_rep1_peak_5619,chr19,14477915,14478548,+,PTGER1
LARP4_rep1_peak_11093,chr9,127505510,127506888,+,LRSAM1
LARP4_rep1_peak_7771,chr22,28794702,28794907,+,XBP1
LARP4_rep1_peak_9280,chr6,1623925,1624338,+,FOXC1
LARP4_rep1_peak_2272,chr12,53040109,53040505,+,TNS2
LARP4_rep1_peak_11010,chr9,107329438,107330420,+,RAD23B
LARP4_rep1_peak_1191,chr10,77977280,77977529,+,DLG5-AS1
LARP4_rep1_peak_6882,chr2,231808375,231808606,+,COPS7B
LARP4_rep1_peak_7937,chr22,41938870,41939128,+,CENPM
LARP4_rep1_peak_6183,chr2,8683676,8684383,+,ID2
LARP4_rep1_peak_2272-2,chr12,53040668,53040867,+,TNS2
LARP4_rep1_peak_1265,chr10,99397028,99397688,+,GOT1
LARP4_rep1_peak_1635,chr11,57476794,57477328,+,RTN4RL2
LARP4_rep1_peak_6410,chr2,65268532,65269384,+,ACTR2
LARP4_rep1_peak_7403-2,chr20,62967733,62968309,+,SLC17A9
LARP4_rep1_peak_8757,chr4,82353884,82354276,+,HNRNPD
LARP4_rep1_peak_6284,chr2,27309588,27310021,+,UCN
LARP4_rep1_peak_7808,chr22,32859179,32859675,+,TIMP3
LARP4_rep1_peak_5767,chr19,35279271,35279731,+,HAMP
LARP4_rep1_peak_395,chr1,36180462,36180687,+,MAP7D1
LARP4_rep1_peak_8335,chr3,93874117,93874315,+,PROS1
LARP4_rep1_peak_328-2,chr1,26780600,26781000,+,PIGV
LARP4_rep1_peak_10964,chr9,91409156,91409328,+,NFIL3
LARP4_rep1_peak_9199,chr5,172950923,172951767,+,RPL26L1
LARP4_rep1_peak_848,chr1,166857391,166857589,+,POGK
LARP4_rep1_peak_4727,chr17,48070764,48071450,+,NFE2L1
LARP4_rep1_peak_927,chr1,205713326,205713629,+,SLC45A3
LARP4_rep1_peak_10350,chr7,150372937,150373414,+,REPIN1
LARP4_rep1_peak_1088,chr10,12250222,12250550,+,CDC123
LARP4_rep1_peak_11642,chrX,135032819,135033408,+,RTL8C
LARP4_rep1_peak_7808-2,chr22,32859900,32860526,+,TIMP3
LARP4_rep1_peak_1732,chr11,62807004,62807707,+,NXF1
LARP4_rep1_peak_5939,chr19,45379841,45380142,+,ERCC2
LARP4_rep1_peak_10260,chr7,116258445,116258638,+,LOC102724434
LARP4_rep1_peak_3824,chr16,30399112,30399359,+,ZNF48
LARP4_rep1_peak_9646,chr6,44154681,44155166,+,CAPN11
LARP4_rep1_peak_9877,chr7,1567476,1567861,+,PSMG3
LARP4_rep1_peak_1687,chr11,61873662,61873944,+,MIR6746
LARP4_rep1_peak_5844,chr19,40441162,40441416,+,SERTAD3
LARP4_rep1_peak_7268,chr20,44942928,44943271,+,PABPC1L
LARP4_rep1_peak_5954,chr19,45890196,45890896,+,IRF2BP1
LARP4_rep1_peak_7161,chr20,32702740,32703592,+,C20orf203
LARP4_rep1_peak_5513,chr19,8403312,8404335,+,2-Mar
LARP4_rep1_peak_7246,chr20,37404138,37405320,+,SRC
LARP4_rep1_peak_10137,chr7,76328690,76328898,+,HSPB1
LARP4_rep1_peak_1013,chr1,234606789,234607071,+,IRF2BP2
LARP4_rep1_peak_9753,chr6,137197637,137198218,+,IFNGR1
LARP4_rep1_peak_9049,chr5,112867468,112867696,+,SRP19
LARP4_rep1_peak_2129,chr12,6730954,6731562,+,COPS7A
LARP4_rep1_peak_9741,chr6,127969980,127970276,+,THEMIS
LARP4_rep1_peak_8838,chr4,154536556,154536767,+,PLRG1
LARP4_rep1_peak_9514,chr6,33212272,33212685,+,RING1
LARP4_rep1_peak_1206,chr10,80155656,80155978,+,PLAC9
LARP4_rep1_peak_623,chr1,112912457,112913175,+,AKR7A2P1
LARP4_rep1_peak_2167,chr12,7919756,7921634,+,SLC2A3
LARP4_rep1_peak_3002,chr14,77474548,77475833,+,AHSA1
LARP4_rep1_peak_318,chr1,25817654,25818168,+,MTFR1L
LARP4_rep1_peak_3358,chr15,81003687,81003889,+,TLNRD1
LARP4_rep1_peak_2258,chr12,51242202,51243133,+,DAZAP2
LARP4_rep1_peak_2480,chr12,109109767,109110405,+,ACACB
LARP4_rep1_peak_2823,chr14,22610876,22611351,+,ABHD4
LARP4_rep1_peak_7776,chr22,29053541,29053892,+,C22orf31
LARP4_rep1_peak_9400,chr6,30590474,30591327,+,MIR877
LARP4_rep1_peak_2735,chr13,75858034,75858238,+,LMO7DN
LARP4_rep1_peak_6126,chr19,56087458,56088075,+,LINC01864
LARP4_rep1_peak_8107,chr3,13316303,13317850,+,NUP210
LARP4_rep1_peak_6620-2,chr2,119438137,119438435,+,TMEM37
LARP4_rep1_peak_5905,chr19,44663288,44663528,+,CEACAM19
LARP4_rep1_peak_8574,chr3,196051688,196052188,+,TFRC
LARP4_rep1_peak_5992,chr19,48453009,48453309,+,KCNJ14
LARP4_rep1_peak_7300,chr20,49243778,49243999,+,STAU1
LARP4_rep1_peak_7526,chr21,39342503,39343252,+,HMGN1
LARP4_rep1_peak_93,chr1,2309875,2310035,+,LOC100129534
LARP4_rep1_peak_6620,chr2,119437146,119437807,+,TMEM37
LARP4_rep1_peak_2823-2,chr14,22611665,22612247,+,ABHD4
LARP4_rep1_peak_11431,chrX,21994352,21994667,+,PHEX
LARP4_rep1_peak_4502,chr17,29573783,29574735,+,TP53I13
LARP4_rep1_peak_5379,chr19,3490955,3491523,+,DOHH
LARP4_rep1_peak_3496,chr16,1938369,1939265,+,MSRB1
LARP4_rep1_peak_7260,chr20,44430592,44431223,+,LINC01430
LARP4_rep1_peak_7711,chr22,20586733,20586969,+,MED15
LARP4_rep1_peak_5386,chr19,3630749,3631017,+,CACTIN
LARP4_rep1_peak_4584,chr17,39746695,39747149,+,GRB7
LARP4_rep1_peak_11454,chrX,40605549,40606333,+,MPC1L
LARP4_rep1_peak_4769,chr17,55392760,55393211,+,MMD
LARP4_rep1_peak_2847,chr14,23325329,23325772,+,PABPN1
LARP4_rep1_peak_4352,chr17,7243670,7244363,+,GABARAP
LARP4_rep1_peak_2254,chr12,50932031,50932399,+,METTL7A
LARP4_rep1_peak_880,chr1,179095681,179095916,+,TOR3A
LARP4_rep1_peak_4948,chr17,78855427,78855856,+,USP36
LARP4_rep1_peak_8746,chr4,76161412,76161837,+,NUP54
LARP4_rep1_peak_5398,chr19,4047087,4047405,+,ZBTB7A
LARP4_rep1_peak_8135,chr3,33142289,33142667,+,CRTAP
LARP4_rep1_peak_2008,chr11,103062197,103062514,+,DCUN1D5
LARP4_rep1_peak_2110,chr12,3283143,3283785,+,LOC100128253
LARP4_rep1_peak_10940,chr9,78328860,78329952,+,PSAT1
LARP4_rep1_peak_4018,chr16,71927802,71928948,+,IST1
LARP4_rep1_peak_10002,chr7,37951173,37951681,+,EPDR1
LARP4_rep1_peak_8573,chr3,196049384,196049937,+,TFRC
LARP4_rep1_peak_5330,chr19,1980390,1980651,+,CSNK1G2-AS1
LARP4_rep1_peak_5958,chr19,46609923,46610719,+,CALM3
LARP4_rep1_peak_10545,chr8,30063374,30064022,+,SARAF
LARP4_rep1_peak_1012,chr1,234383686,234383978,+,COA6
LARP4_rep1_peak_6626,chr2,120293144,120293398,+,RALB
LARP4_rep1_peak_4339,chr17,7039852,7040134,+,SLC16A11
LARP4_rep1_peak_6526,chr2,88749913,88750891,+,ANKRD36BP2
LARP4_rep1_peak_6720,chr2,176337487,176337891,+,MTX2
LARP4_rep1_peak_6412,chr2,68042440,68042963,+,C1D
LARP4_rep1_peak_74,chr1,1785326,1785768,+,NADK
LARP4_rep1_peak_3319,chr15,74844707,74845272,+,ULK3
LARP4_rep1_peak_8548,chr3,187077532,187078414,+,ST6GAL1
LARP4_rep1_peak_4287,chr17,2689788,2690443,+,MIR6776
LARP4_rep1_peak_11593,chrX,107650558,107650789,+,PRPS1
LARP4_rep1_peak_11535,chrX,68840665,68840850,+,EFNB1
LARP4_rep1_peak_6607,chr2,112662907,112663700,+,SLC20A1
LARP4_rep1_peak_6579,chr2,101891767,101892036,+,LINC01127
LARP4_rep1_peak_9467,chr6,31899735,31899959,+,C2
LARP4_rep1_peak_1015,chr1,235111391,235112163,+,SNORA14B
LARP4_rep1_peak_7241,chr20,37316201,37317243,+,MANBAL
LARP4_rep1_peak_9795,chr6,157292612,157292962,+,TMEM242
LARP4_rep1_peak_8659,chr4,2928133,2929000,+,MFSD10
LARP4_rep1_peak_534,chr1,65231737,65232068,+,DNAJC6
LARP4_rep1_peak_5463,chr19,6414284,6414808,+,MIR3940
LARP4_rep1_peak_409,chr1,37957987,37958331,+,INPP5B
LARP4_rep1_peak_8300,chr3,53192291,53192619,+,PRKCD
LARP4_rep1_peak_9163,chr5,151662542,151662861,+,CLMAT3
LARP4_rep1_peak_4728,chr17,48122453,48122655,+,SNX11
LARP4_rep1_peak_9029,chr5,90393873,90394151,+,CETN3
LARP4_rep1_peak_9785,chr6,149810989,149811358,+,RAET1E-AS1
LARP4_rep1_peak_1169,chr10,72275168,72275919,+,DDIT4
LARP4_rep1_peak_8253,chr3,50325428,50326261,+,TUSC2
LARP4_rep1_peak_49,chr1,1328096,1328693,+,TAS1R3
LARP4_rep1_peak_10140,chr7,76389461,76390220,+,ZP3
LARP4_rep1_peak_5500,chr19,7912815,7913290,+,TGFBR3L
LARP4_rep1_peak_3320,chr15,74897632,74898108,+,MPI
LARP4_rep1_peak_6672,chr2,134449203,134449637,+,MGAT5
LARP4_rep1_peak_9956,chr7,6403381,6403686,+,RAC1
LARP4_rep1_peak_7120,chr20,25296525,25296804,+,PYGB
LARP4_rep1_peak_9349,chr6,18225383,18225781,+,DEK
LARP4_rep1_peak_2754,chr13,102784361,102784600,+,TEX30
LARP4_rep1_peak_1791,chr11,64852862,64853681,+,CDC42BPG
LARP4_rep1_peak_6627,chr2,120294470,120294670,+,RALB
LARP4_rep1_peak_6552,chr2,96706125,96706349,+,LMAN2L
LARP4_rep1_peak_5176,chr18,74519923,74520270,+,CNDP1
LARP4_rep1_peak_1975,chr11,75800208,75801368,+,UVRAG-DT
LARP4_rep1_peak_10707,chr8,133237677,133238009,+,CCN4
LARP4_rep1_peak_4373,chr17,7571484,7571745,+,EIF4A1
LARP4_rep1_peak_1896,chr11,67991199,67991720,+,UNC93B1
LARP4_rep1_peak_8762,chr4,83460982,83461232,+,MRPS18C
LARP4_rep1_peak_4666,chr17,43400327,43400687,+,ARL4D
LARP4_rep1_peak_278,chr1,21217318,21218124,+,EIF4G3
LARP4_rep1_peak_7815,chr22,35393600,35394180,+,MCM5
LARP4_rep1_peak_4476,chr17,28573214,28573677,+,PIGS
LARP4_rep1_peak_9129,chr5,141516281,141516894,+,PCDHGC5
LARP4_rep1_peak_352,chr1,27850351,27850581,+,SCARNA1
LARP4_rep1_peak_346,chr1,27306378,27306769,+,TMEM222
LARP4_rep1_peak_7163,chr20,32850007,32850219,+,EFCAB8
LARP4_rep1_peak_7085,chr20,17941709,17942509,+,SNORD17
LARP4_rep1_peak_576,chr1,94897615,94897828,+,CNN3
LARP4_rep1_peak_5094,chr18,673001,673308,+,TYMSOS
LARP4_rep1_peak_7917,chr22,41359656,41360012,+,TEF
LARP4_rep1_peak_10363,chr7,151466856,151467361,+,CRYGN
LARP4_rep1_peak_222,chr1,15428563,15429694,+,CTRC
LARP4_rep1_peak_5334,chr19,2039361,2039690,+,MKNK2
LARP4_rep1_peak_5524,chr19,10133448,10133714,+,EIF3G
LARP4_rep1_peak_3392,chr15,90882675,90883319,+,FES
LARP4_rep1_peak_2145,chr12,6922710,6923560,+,ATN1
LARP4_rep1_peak_3255,chr15,64137526,64137956,+,SNX22
LARP4_rep1_peak_5886,chr19,42294971,42295644,+,PRR19
LARP4_rep1_peak_10020,chr7,44385550,44385765,+,CAMK2B
LARP4_rep1_peak_1430,chr11,726840,727591,+,DEAF1
LARP4_rep1_peak_264,chr1,19338864,19339624,+,SLC66A1
LARP4_rep1_peak_11256,chr9,136207682,136208856,+,LHX3
LARP4_rep1_peak_3711,chr16,21655494,21655709,+,IGSF6
LARP4_rep1_peak_5367,chr19,2755569,2755935,+,SLC39A3
LARP4_rep1_peak_1668,chr11,61446041,61446359,+,SDHAF2
LARP4_rep1_peak_6999,chr20,483587,484162,+,TBC1D20
LARP4_rep1_peak_932,chr1,206733633,206733767,+,IL19
LARP4_rep1_peak_2164,chr12,7210095,7210418,+,PEX5
LARP4_rep1_peak_2324,chr12,56004891,56005238,+,IKZF4
LARP4_rep1_peak_4612,chr17,41867561,41868015,+,KLHL11
LARP4_rep1_peak_9207,chr5,173607661,173608380,+,BOD1
LARP4_rep1_peak_1255,chr10,96521043,96521409,+,TLL2
LARP4_rep1_peak_11589,chrX,106032569,106032824,+,SERPINA7
LARP4_rep1_peak_2418,chr12,69353750,69354043,+,LYZ
LARP4_rep1_peak_5198,chr19,305735,306100,+,PLPP2
LARP4_rep1_peak_5376,chr19,3463811,3464101,+,SMIM24
LARP4_rep1_peak_1030,chr1,235975913,235976402,+,NID1
LARP4_rep1_peak_3161,chr15,29700321,29700854,+,LOC100130111
LARP4_rep1_peak_4488,chr17,28749491,28750005,+,TRAF4
LARP4_rep1_peak_5188,chr18,79903388,79904252,+,KCNG2
LARP4_rep1_peak_863,chr1,172441499,172441729,+,PIGC
LARP4_rep1_peak_11069,chr9,124350786,124351730,+,LOC100129034
LARP4_rep1_peak_1519,chr11,4091831,4092198,+,RRM1
LARP4_rep1_peak_8842,chr4,154583946,154584300,+,FGA
LARP4_rep1_peak_11142,chr9,130135371,130135609,+,GPRACR
LARP4_rep1_peak_2320,chr12,55972110,55972314,+,RAB5B
LARP4_rep1_peak_7104,chr20,22581289,22581626,+,LINC00261
LARP4_rep1_peak_2476,chr12,108522737,108522964,+,FICD
LARP4_rep1_peak_7810,chr22,32862685,32862934,+,TIMP3
LARP4_rep1_peak_5598,chr19,13097493,13097694,+,LYL1
LARP4_rep1_peak_6565,chr2,98600530,98600890,+,COA5
LARP4_rep1_peak_9151,chr5,150557937,150558127,+,SYNPO
LARP4_rep1_peak_11678,chrX,153743960,153744476,+,ABCD1
LARP4_rep1_peak_4537,chr17,36600130,36600675,+,MRM1
LARP4_rep1_peak_3276,chr15,66549197,66549374,+,LCTL
LARP4_rep1_peak_912,chr1,202940914,202941262,+,KLHL12
LARP4_rep1_peak_9801,chr6,158636630,158636961,+,DYNLT1
LARP4_rep1_peak_9879,chr7,1815817,1816254,+,MIR4655
LARP4_rep1_peak_8869,chr4,182891122,182891507,+,DCTD
LARP4_rep1_peak_891,chr1,183144789,183144837,+,LAMC1-AS1
LARP4_rep1_peak_11604,chrX,119243141,119243489,+,PGRMC1
LARP4_rep1_peak_4605,chr17,41802671,41803077,+,P3H4
LARP4_rep1_peak_11548,chrX,71299939,71300972,+,ITGB1BP2
LARP4_rep1_peak_2819,chr14,21496523,21496781,+,METTL3
LARP4_rep1_peak_9490,chr6,32115459,32115979,+,TNXB
LARP4_rep1_peak_4261,chr17,1001069,1001460,+,TIMM22
LARP4_rep1_peak_7273,chr20,45367624,45368094,+,SYS1-DBNDD2
LARP4_rep1_peak_7762,chr22,24585674,24585898,+,GGT1
LARP4_rep1_peak_5315,chr19,1852617,1852737,+,REXO1
LARP4_rep1_peak_9072,chr5,132758621,132758827,+,CCNI2
LARP4_rep1_peak_891-2,chr1,183145098,183145473,+,LAMC1-AS1
LARP4_rep1_peak_6337,chr2,46904941,46905631,+,MCFD2
LARP4_rep1_peak_502,chr1,52608216,52608678,+,GPX7
LARP4_rep1_peak_2423,chr12,76029661,76029885,+,PHLDA1
LARP4_rep1_peak_2932,chr14,52643409,52643722,+,ERO1A
LARP4_rep1_peak_8984,chr5,70032199,70032578,+,SERF1B
LARP4_rep1_peak_2807,chr14,20476575,20476958,+,PNP
LARP4_rep1_peak_6219,chr2,17655618,17655888,+,SMC6
LARP4_rep1_peak_1466,chr11,1276742,1277305,+,MIR6744
LARP4_rep1_peak_5705,chr19,18777707,18777926,+,COMP
LARP4_rep1_peak_2213,chr12,31281825,31282437,+,FLJ13224
LARP4_rep1_peak_5115,chr18,12329142,12329793,+,TUBB6
LARP4_rep1_peak_7580,chr21,44460555,44460972,+,LRRC3
LARP4_rep1_peak_5601,chr19,13139396,13140160,+,STX10
LARP4_rep1_peak_11496,chrX,48913398,48913847,+,SLC35A2
LARP4_rep1_peak_4954,chr17,78993154,78993375,+,LGALS3BP
LARP4_rep1_peak_9270,chr5,181234781,181234983,+,SNORD96A
LARP4_rep1_peak_2422,chr12,74540796,74541291,+,ATXN7L3B
LARP4_rep1_peak_189,chr1,11107212,11107443,+,EXOSC10-AS1
LARP4_rep1_peak_1876,chr11,66848613,66849065,+,RCE1
LARP4_rep1_peak_907,chr1,202005685,202005989,+,MIR6740
LARP4_rep1_peak_7955,chr22,43166823,43167650,+,TSPO
LARP4_rep1_peak_7580-2,chr21,44461145,44461493,+,LRRC3
LARP4_rep1_peak_5849,chr19,40691790,40692044,+,NUMBL
LARP4_rep1_peak_10022,chr7,44512622,44513123,+,NUDCD3
LARP4_rep1_peak_2526,chr12,120210530,120210710,+,PXN-AS1
LARP4_rep1_peak_4604,chr17,41802015,41802408,+,P3H4
LARP4_rep1_peak_6782,chr2,207766648,207767132,+,FZD5
LARP4_rep1_peak_4947,chr17,78853098,78853841,+,USP36
LARP4_rep1_peak_422,chr1,39560853,39561219,+,PPIEL
LARP4_rep1_peak_5634,chr19,15238225,15238448,+,EPHX3
LARP4_rep1_peak_9200,chr5,172952231,172952593,+,RPL26L1
LARP4_rep1_peak_403,chr1,36393459,36393870,+,LSM10
LARP4_rep1_peak_6400,chr2,63893122,63893440,+,UGP2
LARP4_rep1_peak_11178,chr9,133763727,133764105,+,SARDH
LARP4_rep1_peak_5536,chr19,10486192,10486785,+,KEAP1
LARP4_rep1_peak_6639,chr2,127941737,127942027,+,AMMECR1L
LARP4_rep1_peak_831,chr1,161214122,161214339,+,FCER1G
LARP4_rep1_peak_3963,chr16,67154357,67154654,+,B3GNT9
LARP4_rep1_peak_11577,chrX,101346205,101346658,+,TIMM8A
LARP4_rep1_peak_7170,chr20,33657440,33657738,+,C20orf144
LARP4_rep1_peak_8359,chr3,119211936,119212320,+,B4GALT4-AS1
LARP4_rep1_peak_174,chr1,9614281,9614735,+,TMEM201
LARP4_rep1_peak_3626,chr16,12664697,12664924,+,MIR4718
LARP4_rep1_peak_6660,chr2,131146702,131147315,+,PLEKHB2
LARP4_rep1_peak_3721,chr16,23570505,23570762,+,UBFD1
LARP4_rep1_peak_6056,chr19,49869190,49869523,+,PNKP
LARP4_rep1_peak_3181,chr15,39595288,39596123,+,THBS1
LARP4_rep1_peak_8234,chr3,49534542,49535522,+,BSN-DT
LARP4_rep1_peak_9279,chr6,1314400,1314632,+,FOXQ1
LARP4_rep1_peak_4894,chr17,76389707,76389928,+,SPHK1
LARP4_rep1_peak_11501,chrX,49028870,49029116,+,TFE3
LARP4_rep1_peak_8700,chr4,17623893,17624506,+,MED28
LARP4_rep1_peak_1343,chr10,124397727,124398119,+,OAT
LARP4_rep1_peak_3260,chr15,64688171,64688924,+,OAZ2
LARP4_rep1_peak_4012,chr16,70662613,70663042,+,MTSS2
LARP4_rep1_peak_7826,chr22,36281437,36282870,+,MIR6819
LARP4_rep1_peak_3182,chr15,39596985,39597370,+,THBS1
LARP4_rep1_peak_980,chr1,226986887,226987227,+,COQ8A
LARP4_rep1_peak_4079,chr16,84974553,84975035,+,ZDHHC7
LARP4_rep1_peak_5930,chr19,45146926,45147165,+,NKPD1
LARP4_rep1_peak_2020,chr11,115176190,115176639,+,LOC105369509
LARP4_rep1_peak_4380,chr17,7668772,7668977,+,TP53
LARP4_rep1_peak_10043,chr7,47275264,47275545,+,SNORD151
LARP4_rep1_peak_10851,chr9,33046772,33047177,+,DNAJA1
LARP4_rep1_peak_3481,chr16,1445464,1445788,+,CCDC154
LARP4_rep1_peak_8833,chr4,146189554,146189805,+,LSM6
